node_ident,radius,max_busy,busy_50,busy_90,max_idle,idle_50,idle_90,tx_neigh_G,tx_neigh_G2,rx_neigh_G,rx_neigh_G2,num_of_cliques_tx,nodes_in_cliques_tx,num_of_cliques_rx,nodes_in_cliques_rx,succ_norm_all,tx_norm_all,output
26,80,6.42000000000007,1,1,16.4399999999996,0.159999999999854,2.89999999999998,4,8,8,2,2,6,3,14,0,0.115725882575042,1
27,80,1.00000000000006,1,1,2.3799999999992,0.100000000000364,0.200000000000728,3,4,8,3,1,4,3,11,0,0.0203888993770059,1
28,80,9.34000000000015,1,2.07999999999993,10.1799999999998,0.159999999999854,2.19999999999999,5,10,7,10,3,10,4,12,0.36106296938186,0.510666414951859,2
29,80,9.39999999999964,1,1,24.4200000000001,0.180000000000007,2.3799999999992,4,2,4,2,2,7,1,4,0.713267860581552,0.800453086652822,3
30,80,1.00000000000006,1,1,9.94000000000005,0.220000000000255,2.29999999999927,3,4,4,4,1,4,1,4,0.664933564413634,0.765716443269775,3
1,80,1.00000000000023,1,1,12.3800000000001,0.199999999999818,1.48000000000002,3,5,8,3,1,4,3,11,0,0.0924651162790698,1
2,80,1,1,1,15.3600000000006,1.16000000000031,2.42,3,4,4,4,1,4,1,4,0.808940022632969,0.910511627906977,3
3,80,12.9000000000001,1,2.13999999999942,10.6399999999994,0.120000000000118,0.399999999999636,6,10,6,7,4,12,3,10,0.0616748396831384,0.126511627906977,1
4,80,8.21999999999935,1,2.15999999999985,61.18,1.20000000000027,4.73999999999978,5,7,4,5,3,10,1,4,1,1,3
5,80,1.00000000000023,1,1,10.2199999999993,0.199999999999818,1.4399999999996,3,5,6,7,1,4,3,10,0.0047152018106375,0.0950697674418605,1
6,80,6.57999999999993,1,1.18000000000029,12.84,0.119999999999891,1.23999999999978,4,9,7,11,3,8,4,12,0.02263296869106,0.104,1
7,80,1.00000000000045,1,1,8.39999999999964,0.119999999999891,1.16000000000008,3,2,5,2,1,4,2,7,0.162014334213504,0.259348837209302,2
8,80,10.6400000000003,1,2.14000000000033,50.6599999999999,0.219999999999345,1.47999999999956,4,5,5,6,2,6,2,6,0.0950584685024519,0.240186046511628,2
9,80,6.80000000000018,1,1,5.65999999999985,0.080000000000382,0.2800000000002,6,2,8,2,2,10,3,14,0.131271218408148,0.224,2
10,80,6.59999999999945,1,1.53999999999996,19.6799999999994,0.159999999999854,2.46000000000004,5,9,8,2,2,7,3,14,0,0.107348837209302,1
11,80,8.82000000000062,1,1.14000000000033,5.43999999999869,0.0999999999994543,1.17999999999984,7,2,5,8,3,14,2,6,0.283855149000377,0.34846511627907,2
12,80,1,1,1,115.96,0.279999999999745,5.5,1,3,5,5,1,2,3,8,0.206148623161071,0.457860465116279,2
13,80,7.1,1,2.08000000000038,55.6400000000003,0.259999999999991,2.72000000000003,4,5,5,5,3,8,2,6,0.260844964164466,0.46753488372093,2
14,80,8.01999999999998,1,1.21999999999935,8.84000000000015,0.140000000000327,1.36000000000058,5,3,5,9,3,10,3,8,0.45096190116937,0.570232558139535,2
15,80,8.23999999999978,1,2.15999999999985,20.6799999999999,0.220000000000255,1.69999999999982,5,7,7,10,3,10,4,12,0.000943040362127499,0.0866976744186047,1
16,80,8.82000000000062,1,1.18000000000029,7.73999999999978,0.0999999999999091,1.20000000000005,7,2,7,3,3,14,2,10,0.298377970577141,0.392,2
17,80,8.08,1,2.0600000000004,19.6000000000004,0.280000000000655,2.48000000000002,6,11,6,10,4,12,3,10,0.000754432289701999,0.106232558139535,1
18,80,1.00000000000091,1,1,4.67999999999984,0.0800000000008367,0.239999999999782,5,2,7,2,1,6,2,10,0.0984534138061109,0.178604651162791,1
19,80,10.54,1,2.22000000000025,17.46,0.259999999999991,2.30000000000018,4,6,5,9,2,6,3,8,0.0141456054319125,0.117953488372093,1
